caseid,weight,websites_n,pink_slime_n,pink_slime_lib_n,pink_slime_con_n,hard_news_n,hard_news_or_pink_slime_n,local_or_pink_slime_n,local_n,local_only_n,regional_n,national_n,international_n,facebook_n,twitter_n,pink_slime_flag,pink_slime_lib_flag,pink_slime_con_flag,pink_slime_per,pink_slime_local_per,local_only_flag,local_only_per,local_flag,trump_support,knowledge,interest,college,female,race4,non_white,age4,age4_under_30,age4_30_44,age4_45_64,age4_65,zipcode,mean_ideology,ideology_bin,presvote20combined,untrustworthy_n,total_n,untrustworthy_flag,untrustworthy_per
1212667557,0.352786359239064,6326,0,0,0,29,29,28,28,0,29,28,27,418,56,0,0,0,0,0,0,0,1,0,1,4,1,1,Black,1,Under 30,1,0,0,0,32312,0.06528087855297157,6,Joe Biden,0,6326,0,0
1215723847,3.11150983967508,2011,0,0,0,52,52,17,17,5,13,13,32,185,0,0,0,0,0,0,1,0.002486325211337643,1,1,1,3,0,1,White,0,45-64,0,0,1,0,NA,0.08791538461538462,8,Donald Trump,0,2011,0,0
1215932733,0.341305316398416,10712,0,0,0,404,404,96,96,0,116,381,247,1068,2,0,0,0,0,0,0,0,1,0,4,4,1,1,Black,1,45-64,0,0,1,0,21780,-0.010736389018147977,3,Joe Biden,0,10712,0,0
1218231017,0.885798899016325,21184,0,0,0,562,562,33,33,0,38,550,491,41,9,0,0,0,0,0,0,0,1,0,1,3,0,0,White,0,30-44,0,1,0,0,NA,0.1231696257346118,9,I do not plan on voting in the presidential election,2,21184,1,9.441087613293051e-5
1219018147,0.926511542780597,175,0,0,0,22,22,7,7,0,8,17,12,0,2,0,0,0,0,0,0,0,1,1,2,3,0,1,White,0,45-64,0,0,1,0,80222,0.011016417910447761,4,Donald Trump,0,175,0,0
1219664999,0.516053832625614,13344,0,0,0,63,63,31,31,1,30,50,33,93,0,0,0,0,0,0,1,7.494004796163069e-5,1,0,1,2,0,1,White,0,30-44,0,1,0,0,48328,0.07952550571679859,7,Did not vote for President,0,13344,0,0
1219714043,0.102586250700567,21220,0,0,0,468,468,154,154,2,190,455,344,30,125,0,0,0,0,0,1,9.425070688030161e-5,1,0,3,4,1,0,Other,1,45-64,0,0,1,0,NA,0.09063858267716535,8,Joe Biden,0,21220,0,0
1219750285,0.367083525984642,9580,3,3,0,2962,2962,485,482,9,947,2791,1522,1901,5,1,1,0,3.1315240083507306e-4,0.006185567010309278,1,9.394572025052192e-4,1,0,3,4,1,0,White,0,65+,0,0,0,1,29045,0.10083074889867841,8,Joe Biden,20,9580,1,0.0020876826722338203
1219803947,0.617671031292985,7707,0,0,0,76,76,17,17,0,18,73,64,131,1,0,0,0,0,0,0,0,1,1,3,4,0,0,White,0,65+,0,0,0,1,61008,0.04275464817668208,5,Donald Trump,5,7707,1,6.48760866744518e-4
1219965835,0.35664479654187897,9644,0,0,0,1324,1324,120,120,0,407,1318,1017,705,3,0,0,0,0,0,0,0,1,1,3,4,0,1,White,0,65+,0,0,0,1,92586,0.0665748859439496,7,Donald Trump,1,9644,1,1.0369141435089174e-4
1219971795,0.340439312699196,43400,0,0,0,2028,2028,423,423,1,539,1648,1226,181,14,0,0,0,0,0,1,2.304147465437788e-5,1,0,3,4,1,1,White,0,65+,0,0,0,1,27502,0.13276191753025582,10,Joe Biden,6,43400,1,1.3824884792626728e-4
1220186479,0.555042321695657,23490,0,0,0,325,325,69,69,0,74,319,293,3886,1,0,0,0,0,0,0,0,1,1,2,4,0,1,White,0,45-64,0,0,1,0,NA,0.011903038453875274,4,Donald Trump,0,23490,0,0
1220420251,2.46670523839869,14149,0,0,0,251,251,173,173,142,36,71,42,1377,0,0,0,0,0,0,1,0.010036044950173156,1,1,3,2,0,1,White,0,45-64,0,0,1,0,NA,0.07305666068808088,7,Donald Trump,1,14149,1,7.067637288854337e-5
1220420269,0.102586250700567,3857,0,0,0,145,145,37,37,1,52,136,87,22,8,0,0,0,0,0,1,2.5926886180969663e-4,1,1,2,4,1,1,White,0,45-64,0,0,1,0,48632,-0.10721822033898305,1,Donald Trump,3,3857,1,7.7780658542909e-4
1220542523,0.388802994482753,15897,0,0,0,1060,1060,79,79,1,187,1054,911,1291,2,0,0,0,0,0,1,6.290495061961377e-5,1,1,4,4,1,1,White,0,45-64,0,0,1,0,60090,0.0853364768683274,8,Donald Trump,1,15897,1,6.290495061961377e-5
1220542597,0.943035698805773,22985,0,0,0,587,587,369,369,13,357,534,497,5214,336,0,0,0,0,0,1,5.655862519034153e-4,1,0,1,3,1,1,White,0,45-64,0,0,1,0,68507,0.12247738393977416,9,Joe Biden,0,22985,0,0
1220543457,0.344356001406632,6509,0,0,0,881,881,123,123,0,324,807,636,363,33,0,0,0,0,0,0,0,1,0,3,4,1,1,White,0,65+,0,0,0,1,98503,0.07905117017056723,7,Joe Biden,0,6509,0,0
1220599317,0.483650715290684,3144,0,0,0,11,11,9,9,0,9,2,0,86,0,0,0,0,0,0,0,0,1,1,0,1,0,1,Hispanic,1,45-64,0,0,1,0,48444,0.055418666666666665,6,Donald Trump,0,3144,0,0
1220647965,0.617671031292985,20091,0,0,0,966,966,281,281,0,304,847,634,655,10,0,0,0,0,0,0,0,1,1,3,4,0,0,White,0,65+,0,0,0,1,55082,0.16321216760676874,10,Donald Trump,18,20091,1,8.959235478572496e-4
1220691511,0.373252443741463,7705,0,0,0,1866,1866,277,277,0,660,1832,1407,1170,27,0,0,0,0,0,0,0,1,0,3,4,1,1,White,0,65+,0,0,0,1,53214,0.09939799585348998,8,Joe Biden,0,7705,0,0
1220727315,0.353496639790311,9609,0,0,0,1913,1913,370,370,6,724,1839,1390,374,70,0,0,0,0,0,1,6.244146113019045e-4,1,0,3,4,0,0,White,0,45-64,0,0,1,0,64840,0.10121682821755519,9,Joe Biden,8,9609,1,8.32552815069206e-4
1220731943,0.309834835423125,7431,0,0,0,273,273,8,8,0,11,271,247,2344,20,0,0,0,0,0,0,0,1,0,4,4,0,1,White,0,65+,0,0,0,1,34222,0.11972086499123319,9,Joe Biden,1,7431,1,1.3457139012245997e-4
1220774245,0.524413252090591,11995,0,0,0,282,282,98,98,1,98,262,156,1107,6,0,0,0,0,0,1,8.336807002917882e-5,1,1,4,4,1,1,White,0,65+,0,0,0,1,33062,0.03668488348934475,5,Donald Trump,10,11995,1,8.336807002917883e-4
1220774707,0.253601533813438,77973,1,1,0,26750,26750,239,238,1,6818,26625,19898,11087,5,1,1,0,1.2824952227052954e-5,0.0041841004184100415,1,1.2824952227052954e-5,1,0,4,4,0,1,White,0,45-64,0,0,1,0,62896,0.102462104484056,9,Joe Biden,3,77973,1,3.8474856681158864e-5
1220779883,2.42788996632428,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,3,0,1,White,0,45-64,0,0,1,0,NA,0.1293,9,Donald Trump,0,69,0,0
1220819481,0.102586250700567,40004,0,0,0,602,602,52,52,0,72,571,525,739,53,0,0,0,0,0,0,0,1,0,1,4,0,1,White,0,45-64,0,0,1,0,NA,0.14664482047049113,10,Joe Biden,0,40004,0,0
1220859525,0.517068911072594,447,0,0,0,42,42,5,5,0,12,39,22,4,9,0,0,0,0,0,0,0,1,1,1,4,0,0,White,0,45-64,0,0,1,0,49251,-6.324137931034458e-4,3,Donald Trump,0,447,0,0
1220931931,0.47788250277724,16482,0,0,0,2534,2534,263,263,6,794,2507,1924,2083,58,0,0,0,0,0,1,3.6403349108117945e-4,1,1,3,4,0,0,White,0,65+,0,0,0,1,93433,0.08937002918855809,8,Donald Trump,10,16482,1,6.067224851352991e-4
1220933007,0.629673231870103,2674,0,0,0,127,127,112,112,0,113,127,126,83,107,0,0,0,0,0,0,0,1,0,3,4,0,1,Black,1,65+,0,0,0,1,77067,0.01631079958463136,4,Joe Biden,0,2674,0,0
1220988095,1.63361317676752,4301,0,0,0,772,772,745,745,0,745,758,748,839,0,0,0,0,0,0,0,0,1,0,3,1,1,1,White,0,45-64,0,0,1,0,49256,0.022833759842519685,4,Joe Biden,1,4301,1,2.3250406882120437e-4
1221091883,0.237361372054388,51,0,0,0,3,3,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,White,0,45-64,0,0,1,0,80452,-0.03595111111111111,2,Donald Trump,0,51,0,0
1221094863,1.1709452832462801,21243,0,0,0,238,238,23,23,0,23,134,98,2,11,0,0,0,0,0,0,0,1,0,2,3,1,0,White,0,45-64,0,0,1,0,21229,0.06906906837999081,7,Joe Biden,0,21243,0,0
1221096791,1.45196833959979,43192,0,0,0,969,969,609,609,2,915,963,919,9,621,0,0,0,0,0,1,4.630487127245786e-5,1,0,3,3,1,1,White,0,30-44,0,1,0,0,80236,-0.003008770883054891,3,Joe Biden,0,43192,0,0
1221135067,0.327529495641434,3513,0,0,0,148,148,27,27,0,49,145,119,196,10,0,0,0,0,0,0,0,1,0,3,4,1,1,Other,1,45-64,0,0,1,0,17363,0.047665498857578065,5,Joe Biden,0,3513,0,0
1221135087,1.01802933941028,28197,0,0,0,506,506,371,371,0,373,506,495,1866,21,0,0,0,0,0,0,0,1,1,0,3,1,1,Other,1,45-64,0,0,1,0,93906,0.024036499540018397,4,Donald Trump,0,28197,0,0
1221138629,0.427699051605798,58029,0,0,0,2991,2991,93,93,1,245,2956,2234,142,2,0,0,0,0,0,1,1.7232762928880387e-5,1,1,3,4,0,1,White,0,30-44,0,1,0,0,25309,0.13492721820995615,10,Donald Trump,25,58029,1,4.308190732220097e-4
1221139991,2.92037915954642,558,0,0,0,29,29,1,1,0,2,28,9,12,1,0,0,0,0,0,0,0,1,1,1,3,0,0,White,0,30-44,0,1,0,0,48049,-0.014106827309236947,3,Donald Trump,0,558,0,0
1221141329,6.41164066878541,131,0,0,0,5,5,4,4,0,4,4,5,5,0,0,0,0,0,0,0,0,1,1,1,2,0,0,White,0,65+,0,0,0,1,40108,0.02338695652173913,4,Donald Trump,0,131,0,0
1221142005,0.52119094747771,33602,0,0,0,3986,3986,2704,2704,4,2789,3894,3270,75,232,0,0,0,0,0,1,1.190405333015892e-4,1,0,4,4,1,0,Black,1,45-64,0,0,1,0,95370,0.08031609847221295,7,Joe Biden,0,33602,0,0
1221180487,0.377107289279223,4612,0,0,0,657,657,383,383,0,411,654,642,972,385,0,0,0,0,0,0,0,1,0,2,4,1,0,White,0,65+,0,0,0,1,27540,0.002587250684395776,3,Joe Biden,0,4612,0,0
1221180599,0.376286313070419,18054,0,0,0,850,850,388,388,1,399,725,604,4734,13,0,0,0,0,0,1,5.538938739337543e-5,1,0,3,4,0,0,White,0,65+,0,0,0,1,46077,0.08166966107658027,7,Joe Biden,1,18054,1,5.538938739337543e-5
1221182911,0.809513959189826,2280,0,0,0,25,25,14,14,0,20,24,18,105,0,0,0,0,0,0,0,0,1,0,4,4,0,1,White,0,65+,0,0,0,1,NA,0.11545804701627486,9,Joe Biden,0,2280,0,0
1221183645,0.313399425515412,4621,0,0,0,179,179,93,93,0,105,136,83,178,2,0,0,0,0,0,0,0,1,0,4,4,0,1,White,0,65+,0,0,0,1,95476,0.006107207792207791,3,Joe Biden,2,4621,1,4.3280675178532783e-4
1221183803,0.343206470440525,35803,0,0,0,168,168,19,19,0,38,168,144,434,0,0,0,0,0,0,0,0,1,0,4,4,0,0,White,0,65+,0,0,0,1,20112,0.10868530479648385,9,Joe Biden,0,35803,0,0
1221236811,4.73682178545465,458,0,0,0,33,33,2,2,0,4,33,30,24,0,0,0,0,0,0,0,0,1,0,3,3,0,1,Black,1,65+,0,0,0,1,48342,-0.01740056818181818,2,Joe Biden,1,458,1,0.002183406113537118
1221288471,0.424979596579055,60,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,4,1,0,White,0,65+,0,0,0,1,21718,0.010708823529411764,4,Joe Biden,0,60,0,0
1221295583,1.42338608730685,14442,0,0,0,3243,3243,3159,3159,0,3159,3228,3193,3375,15,0,0,0,0,0,0,0,1,1,2,4,0,0,Hispanic,1,45-64,0,0,1,0,33801,0.07604926262053317,7,Donald Trump,2,14442,1,1.3848497438027975e-4
1221296351,0.376286313070419,7610,0,0,0,1077,1077,42,42,0,213,1062,901,907,6,0,0,0,0,0,0,0,1,0,3,4,0,0,White,0,65+,0,0,0,1,NA,0.09406593530239099,8,Joe Biden,0,7610,0,0
1221297547,2.74486621617414,20029,0,0,0,4069,4069,26,26,4,1018,4064,3061,593,0,0,0,0,0,0,1,1.997104198911578e-4,1,1,4,3,0,0,White,0,45-64,0,0,1,0,85302,0.13997015723885953,10,Donald Trump,0,20029,0,0
1221337259,0.349975590862391,19676,0,0,0,1013,1013,230,230,38,225,891,577,359,62,0,0,0,0,0,1,0.0019312868469201058,1,0,4,4,1,0,White,0,45-64,0,0,1,0,92374,-0.03484082644628099,2,Joe Biden,1,19676,1,5.0823338076844885e-5
1221337787,0.782808834709207,6705,0,0,0,95,95,36,36,1,37,79,53,441,9,0,0,0,0,0,1,1.4914243102162565e-4,1,0,3,3,0,1,White,0,45-64,0,0,1,0,NA,0.09320349586016559,8,Joe Biden,3,6705,1,4.4742729306487697e-4
1221337905,0.282634479977616,35619,0,0,0,10532,10532,6039,6039,10,6415,10033,9736,197,7571,0,0,0,0,0,1,2.8074903843454337e-4,1,0,4,4,0,0,White,0,45-64,0,0,1,0,NA,-0.07361451216789462,1,Joe Biden,16,35619,1,4.491984614952694e-4
1221338795,0.420635393356033,659,0,0,0,23,23,22,22,0,23,23,22,89,6,0,0,0,0,0,0,0,1,0,3,4,1,1,White,0,65+,0,0,0,1,62901,0.05098647058823529,6,Joe Biden,0,659,0,0
1221341823,0.453484366088073,802,0,0,0,20,20,3,3,0,7,17,11,9,0,0,0,0,0,0,0,0,1,1,3,4,0,1,White,0,45-64,0,0,1,0,NA,0.2418189781021898,10,Donald Trump,0,802,0,0
1221342393,0.717401372221442,26630,0,0,0,310,310,20,20,0,85,307,224,401,1,0,0,0,0,0,0,0,1,1,1,4,0,1,White,0,45-64,0,0,1,0,63730,0.12853260220829602,9,Donald Trump,0,26630,0,0
1221344125,0.306351595169879,17953,0,0,0,807,807,112,112,2,115,758,571,4856,250,0,0,0,0,0,1,1.1140199409569431e-4,1,0,1,4,0,0,White,0,45-64,0,0,1,0,54853,0.08901558674231114,8,Joe Biden,1,17953,1,5.5700997047847156e-5
1221345219,0.347033600823819,14327,0,0,0,1207,1207,425,425,0,529,1201,913,1209,33,0,0,0,0,0,0,0,1,0,3,4,1,0,White,0,65+,0,0,0,1,32164,0.019724532779590628,4,Joe Biden,2,14327,1,1.3959656592447826e-4
1221389741,1.10845282283295,13968,0,0,0,33,33,22,22,0,23,33,31,523,21,0,0,0,0,0,0,0,1,0,1,3,1,1,White,0,45-64,0,0,1,0,11222,0.08310929938985903,8,Joe Biden,0,13968,0,0
1221390061,0.445883949538207,4359,0,0,0,319,319,196,196,9,195,286,198,126,1,0,0,0,0,0,1,0.0020646937370956643,1,0,4,4,1,0,Other,1,45-64,0,0,1,0,NA,0.12387079934747146,9,Joe Biden,0,4359,0,0
1221390395,0.521971674027531,880,0,0,0,120,120,34,34,0,62,73,47,45,7,0,0,0,0,0,0,0,1,0,4,4,1,0,White,0,45-64,0,0,1,0,30542,0.08828036363636363,8,Joe Biden,0,880,0,0
1221391085,0.525086182043661,112,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,1,4,4,1,0,White,0,65+,0,0,0,1,89052,-0.012977777777777783,3,Donald Trump,0,112,0,0
1221391173,0.102586250700567,29045,0,0,0,1129,1129,1033,1033,1,1033,1090,1031,306,496,0,0,0,0,0,1,3.442933379239112e-5,1,0,2,4,1,1,White,0,30-44,0,1,0,0,12110,-0.06523328489996646,1,Joe Biden,0,29045,0,0
1221391371,1.2151337456222,111657,0,0,0,17621,17621,15576,15576,1,16021,17577,15217,4295,2004,0,0,0,0,0,1,8.955999176048076e-6,1,1,4,4,1,0,White,0,30-44,0,1,0,0,13104,0.028779462933098764,4,Donald Trump,26,111657,1,2.3285597857724996e-4
1221391637,1.25227380340317,1003,0,0,0,224,224,91,91,0,91,224,199,117,2,0,0,0,0,0,0,0,1,1,4,4,0,0,White,0,65+,0,0,0,1,47959,0.030505031446540886,5,Donald Trump,4,1003,1,0.003988035892323031
1221394191,0.524069041997526,42679,0,0,0,6544,6544,668,668,0,669,6503,5881,3560,6,0,0,0,0,0,0,0,1,0,3,4,1,1,White,0,30-44,0,1,0,0,55102,-5.981959015589757e-4,3,Joe Biden,2,42679,1,4.6861454110921064e-5
1221398585,0.584065793806685,56403,0,0,0,4827,4827,735,735,5,777,4584,4246,14,226,0,0,0,0,0,1,8.86477669627502e-5,1,0,4,4,1,0,White,0,30-44,0,1,0,0,91423,0.010278610425850283,4,Joe Biden,0,56403,0,0
1221399501,0.822905593103362,10458,0,0,0,252,252,82,82,0,93,250,101,113,90,0,0,0,0,0,0,0,1,0,4,4,1,0,Other,1,Under 30,1,0,0,0,19020,-0.0012449786739046143,3,Joe Biden,0,10458,0,0
1221399509,0.233968220701252,71531,0,0,0,3989,3989,1146,1146,0,1270,3938,3713,5870,56,0,0,0,0,0,0,0,1,0,4,4,0,1,White,0,45-64,0,0,1,0,85735,-0.009084956310924795,3,Joe Biden,0,71531,0,0
1221399905,4.53152646956606,5994,0,0,0,570,570,379,379,0,372,565,525,409,8,0,0,0,0,0,0,0,1,0,2,2,1,1,Other,1,Under 30,1,0,0,0,95211,0.05741229891022314,6,Joe Biden,0,5994,0,0
1221400137,0.383181288715126,37,0,0,0,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,1,1,2,3,1,1,White,0,65+,0,0,0,1,43125,-0.0622,1,Donald Trump,0,37,0,0
1221400551,0.253601533813438,17042,1,0,1,3915,3916,241,240,5,1083,3884,2972,647,9,1,0,1,5.867855885459453e-5,0.004149377593360996,1,2.9339279427297266e-4,1,0,2,4,0,1,White,0,45-64,0,0,1,0,60067,0.09693952025167125,8,Joe Biden,2,17042,1,1.1735711770918906e-4
1221425553,3.58419024251824,66238,0,0,0,13199,13199,120,120,0,3248,13118,9723,380,23,0,0,0,0,0,0,0,1,0,3,2,0,1,White,0,45-64,0,0,1,0,54935,0.0806994463514561,7,Joe Biden,0,66238,0,0
1221442813,0.347154994764686,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,3,4,0,0,White,0,65+,0,0,0,1,NA,0.16006,10,Joe Biden,0,8,0,0
1221443657,0.89423126716726,3402,0,0,0,138,138,6,6,1,13,129,82,37,10,0,0,0,0,0,1,2.9394473838918284e-4,1,1,3,3,1,0,Other,1,30-44,0,1,0,0,82633,0.04344565217391304,5,Donald Trump,6,3402,1,0.001763668430335097
1221443673,0.377107289279223,4695,0,0,0,499,499,34,34,6,51,482,439,8,3,0,0,0,0,0,1,0.0012779552715654952,1,0,3,4,1,0,White,0,65+,0,0,0,1,27577,0.032732404828226556,5,Joe Biden,0,4695,0,0
1221444131,2.95228418550492,13627,0,0,0,1906,1906,51,51,0,508,1906,1439,1211,2,0,0,0,0,0,0,0,1,1,0,2,0,1,White,0,65+,0,0,0,1,74578,0.07661590729938515,7,Donald Trump,0,13627,0,0
